xdata, ydata0, ydata1, ydata2, ydata3
4.066855300E+2 , NaN , NaN , NaN , NaN
4.066856200E+2 , NaN , NaN , NaN , NaN
4.066857100E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.338695619E+5
4.066858000E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.191871480E+5
4.066858900E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.342668855E+5
4.066859800E+2 , NaN , NaN , NaN , NaN
4.066860700E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.437327228E+5
4.066861600E+2 , NaN , NaN , NaN , NaN
4.066862500E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.454143620E+5
4.066863400E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.331220816E+5
4.066864300E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.260475369E+5
4.066865200E+2 , NaN , NaN , NaN , NaN
4.066866100E+2 , NaN , NaN , NaN , NaN
4.066867000E+2 , NaN , NaN , NaN , NaN
4.066867900E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.549255257E+5
4.066868800E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.503819686E+5
4.066869700E+2 , NaN , NaN , NaN , NaN
4.066870600E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.393141367E+5
4.066871500E+2 , NaN , NaN , NaN , NaN
4.066872400E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.476349690E+5
4.066873300E+2 , NaN , NaN , NaN , NaN
4.066874200E+2 , NaN , NaN , NaN , NaN
4.066875100E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.438122979E+5
4.066876000E+2 , NaN , NaN , NaN , NaN
4.066876900E+2 , NaN , NaN , NaN , NaN
4.066877800E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.398841209E+5
4.066878700E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.567939214E+5
4.066879600E+2 , NaN , NaN , NaN , NaN
4.066880500E+2 , NaN , NaN , NaN , NaN
4.066881400E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.468660759E+5
4.066882300E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.802513349E+5
4.066883200E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.633258140E+5
4.066884100E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.439126879E+5
4.066885000E+2 , NaN , NaN , NaN , NaN
4.066885900E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 3.169261217E+5
4.066886800E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.631914476E+5
4.066887700E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.518478464E+5
4.066888600E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.721264405E+5
4.066889500E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.629518783E+5
4.066890400E+2 , NaN , NaN , NaN , NaN
4.066891300E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.642595972E+5
4.066892200E+2 , NaN , NaN , NaN , NaN
4.066893100E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.521744547E+5
4.066894000E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.682362005E+5
4.066894900E+2 , NaN , NaN , NaN , NaN
4.066895800E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.516361036E+5
4.066896700E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.890420874E+5
4.066897600E+2 , NaN , NaN , NaN , NaN
4.066898500E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.502489627E+5
4.066899400E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.806705058E+5
4.066900300E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.437929232E+5
4.066901200E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.626086647E+5
4.066902100E+2 , NaN , NaN , NaN , NaN
4.066903000E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.650840289E+5
4.066903900E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.422743604E+5
4.066904800E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.799370924E+5
4.066905700E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.479493451E+5
4.066906600E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.657335436E+5
4.066907500E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.850277688E+5
4.066908400E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.364731932E+5
4.066909300E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.884393336E+5
4.066910200E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.591196165E+5
4.066911100E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.961574386E+5
4.066912000E+2 , NaN , NaN , NaN , NaN
4.066912900E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.920342953E+5
4.066913800E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.662245093E+5
4.066914700E+2 , NaN , NaN , NaN , NaN
4.066915600E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.559005328E+5
4.066916500E+2 , NaN , NaN , NaN , NaN
4.066917400E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.211272610E+5
4.066918300E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 3.068552152E+5
4.066919200E+2 , NaN , NaN , NaN , NaN
4.066920100E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.482402515E+5
4.066921000E+2 , NaN , NaN , NaN , NaN
4.066921900E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.533063849E+5
4.066922800E+2 , NaN , NaN , NaN , NaN
4.066923700E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.773224134E+5
4.066924600E+2 , NaN , NaN , NaN , NaN
4.066925500E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.439439350E+5
4.066926400E+2 , NaN , NaN , NaN , NaN
4.066927300E+2 , NaN , NaN , NaN , NaN
4.066928200E+2 , NaN , NaN , NaN , NaN
4.066929100E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.393799007E+5
4.066930000E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.957784457E+5
4.066930900E+2 , NaN , NaN , NaN , NaN
4.066931800E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.519638185E+5
4.066932700E+2 , NaN , NaN , NaN , NaN
4.066933600E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.876101297E+5
4.066934500E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.644108748E+5
4.066935400E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.834725990E+5
4.066936300E+2 , NaN , NaN , NaN , NaN
4.066937200E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 3.048324726E+5
4.066938100E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.915640374E+5
4.066939000E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.576031131E+5
4.066939900E+2 , NaN , NaN , NaN , NaN
4.066940800E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.989915538E+5
4.066941700E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 2.786868536E+5
4.066942600E+2 , NaN , NaN , NaN , NaN
4.066943500E+2 , 0.000000000E+0 , 0.000000000E+0 , 0.000000000E+0 , 3.013043886E+5
